Number_of_Groups,Task_group
13,"{0: [83, 78, 46, 90, 57, 28, 24, 27], 1: [30, 12, 91, 22], 2: [52, 89, 6, 9], 3: [87, 92, 10], 4: [85], 5: [55, 59], 6: [86, 84], 7: [76, 25, 61], 8: [20, 5, 18], 9: [81, 2], 10: [70], 11: [67], 12: [80]}"
13,"{0: [52, 20, 78, 57], 1: [85, 9, 59, 18], 2: [86, 84, 24, 92], 3: [25, 90], 4: [80, 91], 5: [61, 6], 6: [81, 55, 12, 28], 7: [83, 76, 2], 8: [87, 27], 9: [89, 10], 10: [30], 11: [5], 12: [46, 67, 22, 70]}"
11,"{0: [86, 84, 57, 6, 9, 59], 1: [55, 87, 92], 2: [25, 24, 27], 3: [85, 20, 5, 2, 28, 70, 10], 4: [78, 67], 5: [83, 52, 81, 76, 22], 6: [80, 91], 7: [46, 18], 8: [12], 9: [30, 90, 89], 10: [61]}"
11,"{0: [25, 12, 61, 90, 18], 1: [84, 55, 46, 27], 2: [78, 5, 6], 3: [85, 86], 4: [52, 91, 70], 5: [87, 22, 89, 28, 10], 6: [80, 9], 7: [81, 67, 59], 8: [76, 2, 57], 9: [83, 92], 10: [20, 30, 24]}"
12,"{0: [2, 67, 22, 18], 1: [76, 6, 70, 92], 2: [81, 80, 78, 55, 87, 27], 3: [5, 46], 4: [52, 61, 89, 57], 5: [12], 6: [9], 7: [25, 20, 91], 8: [83, 86], 9: [85, 28, 10], 10: [84, 90, 24], 11: [30, 59]}"
14,"{0: [25, 12, 89, 59], 1: [76, 61, 24], 2: [84, 5, 9, 27, 70], 3: [86], 4: [20, 57], 5: [52, 87, 18], 6: [78, 55, 28, 92], 7: [80, 67, 90], 8: [6, 10], 9: [83, 22], 10: [81, 85, 91], 11: [30], 12: [2], 13: [46]}"
11,"{0: [86, 87, 22], 1: [2, 12, 89, 10], 2: [52, 78, 46, 67, 6], 3: [84, 61], 4: [80, 76, 85, 92], 5: [81, 30, 55], 6: [5, 28], 7: [57, 9], 8: [91, 24], 9: [20, 27, 59, 70, 18], 10: [83, 25, 90]}"
17,"{0: [20, 28, 70], 1: [27, 92], 2: [5], 3: [52, 57], 4: [80, 46, 90, 91, 22], 5: [76, 78, 24], 6: [2, 12], 7: [61], 8: [55], 9: [86, 67, 6, 18], 10: [81], 11: [25], 12: [83, 87], 13: [84, 9, 59, 10], 14: [30], 15: [85], 16: [89]}"
12,"{0: [52, 86, 55, 87], 1: [80, 76, 20, 27], 2: [61, 59], 3: [85, 6, 24], 4: [89, 10], 5: [30, 2, 12, 92], 6: [83, 78, 5, 67, 90, 91, 22, 57, 18], 7: [25, 70], 8: [81], 9: [84], 10: [28, 9], 11: [46]}"
13,"{0: [83, 84, 5, 2, 92], 1: [30, 9, 70], 2: [52, 20, 18], 3: [85, 86, 87, 12, 61, 27], 4: [80], 5: [76, 78, 91, 24], 6: [55, 10], 7: [25, 90], 8: [81], 9: [89, 57, 28], 10: [46], 11: [67, 6], 12: [22, 59]}"
9,"{0: [81, 80, 78, 5, 46, 61], 1: [52, 30, 2, 67, 27, 70, 10], 2: [20, 12, 90, 22], 3: [84, 87, 24], 4: [83, 76, 57, 9, 92, 18], 5: [25, 89, 6, 59], 6: [85, 28], 7: [86], 8: [55, 91]}"
14,"{0: [85, 84, 30, 18], 1: [55, 22, 6, 24, 10], 2: [91], 3: [46, 90], 4: [81, 89, 92], 5: [83, 80, 76, 61, 9], 6: [86], 7: [52, 20, 5], 8: [67, 70], 9: [78, 12, 57], 10: [25, 2], 11: [59], 12: [28, 27], 13: [87]}"
11,"{0: [52, 20, 84, 87], 1: [2, 61, 67, 70], 2: [76, 85, 55, 59], 3: [80, 25, 86, 6, 92], 4: [5, 46, 22, 18, 10], 5: [9], 6: [30], 7: [28, 27], 8: [83, 81, 12, 90, 89, 24], 9: [78, 57], 10: [91]}"
11,"{0: [90, 91, 18], 1: [52, 80, 20, 28, 24], 2: [81, 85, 78, 2, 59], 3: [76, 67, 22], 4: [83, 55, 46, 89, 10], 5: [61, 92], 6: [84, 87, 6], 7: [25, 86, 30, 12], 8: [9], 9: [5, 57], 10: [27, 70]}"
14,"{0: [5, 91, 89, 92, 18], 1: [84, 61, 57, 6], 2: [52, 80, 90], 3: [22], 4: [55, 9, 10], 5: [76, 30, 67, 28, 27], 6: [25, 85], 7: [78, 24], 8: [70], 9: [20, 2, 46, 59], 10: [83], 11: [81], 12: [87, 12], 13: [86]}"
10,"{0: [81, 76, 55, 24, 27], 1: [85, 78, 46, 89, 59], 2: [52, 20, 12, 9], 3: [90, 92], 4: [84, 61], 5: [80, 86, 6, 70], 6: [5, 67, 91, 57, 18], 7: [25, 28], 8: [30, 2, 87, 22, 10], 9: [83]}"
13,"{0: [90, 57], 1: [25, 27, 18, 10], 2: [89], 3: [80, 84, 6, 92], 4: [20, 59], 5: [52, 5, 2, 87, 22, 24], 6: [85, 30, 70], 7: [12, 91], 8: [78, 55, 46, 28], 9: [76, 86, 61], 10: [9], 11: [83, 67], 12: [81]}"
11,"{0: [83, 2, 46, 6], 1: [84, 12, 91], 2: [78, 5, 87, 61], 3: [81, 67, 57, 18], 4: [22, 27], 5: [76, 55, 90, 92], 6: [52, 86, 89, 70], 7: [9], 8: [80, 20, 30, 24, 59], 9: [25, 85], 10: [28, 10]}"
12,"{0: [78, 55, 12, 24, 27, 59], 1: [61, 92], 2: [2, 18], 3: [52, 84, 87, 90, 89], 4: [76, 67, 6], 5: [5, 91, 70], 6: [83], 7: [80, 28], 8: [25], 9: [86, 57, 10], 10: [85, 20, 30, 46], 11: [81, 22, 9]}"
13,"{0: [46, 24, 18], 1: [84, 5, 30, 55, 12], 2: [80, 59, 92], 3: [27], 4: [52, 91], 5: [81, 86, 22, 89, 28], 6: [76, 25, 85, 61, 90], 7: [2, 70], 8: [57], 9: [20, 87, 67], 10: [9, 10], 11: [83, 78], 12: [6]}"
14,"{0: [81, 55, 27, 10], 1: [83, 85, 5, 90], 2: [80, 87, 46, 6], 3: [52, 78], 4: [86, 12, 59, 70], 5: [61, 28], 6: [20, 30, 2], 7: [89, 92], 8: [67, 57], 9: [76, 84, 9], 10: [91, 22], 11: [25], 12: [24], 13: [18]}"
11,"{0: [80, 78, 27, 18], 1: [87], 2: [85, 46, 61, 6], 3: [83, 28], 4: [52, 20, 5, 2, 55, 91, 89, 9], 5: [81, 76, 67, 22, 57], 6: [12, 10], 7: [25, 70, 92], 8: [30, 59], 9: [86, 84, 24], 10: [90]}"
11,"{0: [80, 86, 5, 2, 22, 57, 59, 10], 1: [76, 25, 78, 28, 24], 2: [83, 52, 61, 91], 3: [55, 87, 90], 4: [27, 18], 5: [92], 6: [81, 85, 12, 89], 7: [84, 30], 8: [20, 9, 70], 9: [46, 67], 10: [6]}"
11,"{0: [52, 18], 1: [20, 9, 70, 10], 2: [78, 5, 55, 46, 91, 6], 3: [85, 86, 67, 92], 4: [81, 25, 84, 61], 5: [83, 80, 76, 89], 6: [30, 87, 24], 7: [90, 22, 59], 8: [2, 57], 9: [28], 10: [12, 27]}"
14,"{0: [83, 81, 86, 12, 24, 10], 1: [20, 30, 61], 2: [84, 78, 87], 3: [6], 4: [46, 90], 5: [25, 91], 6: [85], 7: [5, 9], 8: [2, 22, 27, 70, 92], 9: [52, 55, 28, 59, 18], 10: [57], 11: [80, 89], 12: [67], 13: [76]}"
12,"{0: [76, 25, 84, 9, 24], 1: [52, 80, 61], 2: [86, 5, 91], 3: [67, 57, 28, 92], 4: [20, 78, 46], 5: [2], 6: [83, 85, 22], 7: [30, 90, 27], 8: [6, 59, 18], 9: [87, 70, 10], 10: [55, 12, 89], 11: [81]}"
8,"{0: [30, 87, 61, 91, 22, 57, 70, 92], 1: [20, 55, 28, 27, 59], 2: [76, 85], 3: [5, 46, 12, 24], 4: [84, 6, 18], 5: [83, 78, 89, 10], 6: [52, 81, 80, 25, 86, 67, 90], 7: [2, 9]}"
14,"{0: [28, 9], 1: [25], 2: [85, 57, 27], 3: [90, 24, 92], 4: [52, 20, 70], 5: [91, 22, 18], 6: [81, 46, 12, 89], 7: [6], 8: [83, 10], 9: [84, 78, 5], 10: [55], 11: [80, 30, 87, 61], 12: [86, 2, 67, 59], 13: [76]}"
10,"{0: [25, 12, 57], 1: [30, 2, 27], 2: [84, 78, 46, 24], 3: [80, 76, 55, 90, 6, 9], 4: [83, 52, 85, 61, 28], 5: [81, 87, 22, 89, 59, 10], 6: [91], 7: [20, 70], 8: [86, 67, 18], 9: [5, 92]}"
13,"{0: [76, 86, 70], 1: [85, 87, 57, 24, 59], 2: [25, 5, 61, 10], 3: [6, 92, 18], 4: [81, 67, 90, 91, 9], 5: [28], 6: [84, 27], 7: [52, 20, 30], 8: [83], 9: [12, 22], 10: [55, 46], 11: [2, 89], 12: [80, 78]}"
10,"{0: [81, 89], 1: [25, 78, 5, 67], 2: [83, 86, 57, 27, 59], 3: [46, 6, 24], 4: [85, 20, 91, 9], 5: [28], 6: [52, 2, 87, 12, 61, 90, 22], 7: [80, 76, 84, 30], 8: [55, 92, 18], 9: [70, 10]}"
15,"{0: [20], 1: [86, 67], 2: [22, 59], 3: [84, 78, 46, 9], 4: [83, 57, 70, 92, 10], 5: [81, 6, 24], 6: [76, 30, 55], 7: [90], 8: [52, 5, 61, 27], 9: [85], 10: [25, 87, 18], 11: [28], 12: [2, 91], 13: [12, 89], 14: [80]}"
15,"{0: [2, 55], 1: [81, 30, 12, 91, 10], 2: [70], 3: [76, 46, 6], 4: [27, 59], 5: [84, 78, 5, 61, 22], 6: [28], 7: [83], 8: [85, 89], 9: [87, 92], 10: [52, 67, 24], 11: [86], 12: [25, 57, 18], 13: [80, 90, 9], 14: [20]}"
11,"{0: [83, 12, 18], 1: [52, 84, 90, 89, 27], 2: [2, 92], 3: [80, 25], 4: [81, 5, 30, 57], 5: [85, 55, 6, 28, 10], 6: [20, 86, 61, 59], 7: [78, 87, 91, 22, 70], 8: [67, 24], 9: [46, 9], 10: [76]}"
14,"{0: [89, 28, 24, 92], 1: [25, 5], 2: [81, 2], 3: [90, 18], 4: [83, 76, 85, 20, 46], 5: [86, 70, 10], 6: [78, 30], 7: [52, 91, 22], 8: [84, 12, 67], 9: [80], 10: [87, 6], 11: [61, 59], 12: [57, 9], 13: [55, 27]}"
13,"{0: [28], 1: [83, 20, 86, 9, 18, 10], 2: [87, 57], 3: [81, 55, 67, 22], 4: [80, 91, 6], 5: [52, 85, 84], 6: [2, 92], 7: [30, 24, 70], 8: [25], 9: [78], 10: [12, 61], 11: [27, 59], 12: [76, 5, 46, 90, 89]}"
9,"{0: [85, 84, 67], 1: [52, 78, 2, 87, 90, 57], 2: [6, 59, 70], 3: [22, 27], 4: [80, 91, 89], 5: [83, 76, 61, 9, 24, 10], 6: [5, 30, 55, 46, 28, 92], 7: [81, 25, 86, 18], 8: [20, 12]}"
16,"{0: [5], 1: [91, 6, 59], 2: [84, 28], 3: [76, 24], 4: [85, 46, 22, 70], 5: [27], 6: [80, 86], 7: [81, 20, 55], 8: [25, 9, 18], 9: [67, 57], 10: [78, 87], 11: [2, 92], 12: [83, 30, 12, 61], 13: [10], 14: [90, 89], 15: [52]}"
11,"{0: [20, 55, 61, 67, 57, 24], 1: [30, 87, 91], 2: [85, 46], 3: [83, 81, 90, 6], 4: [52, 78, 2, 12], 5: [89, 27, 70, 18], 6: [80, 25], 7: [84, 22], 8: [9, 59], 9: [86, 5, 92, 10], 10: [76, 28]}"
14,"{0: [84, 67, 22, 28, 92], 1: [76, 89], 2: [78, 5, 12], 3: [83, 55, 24, 70], 4: [81, 2, 61, 91, 59], 5: [25, 20, 30, 46], 6: [27], 7: [80, 85], 8: [18], 9: [86], 10: [52, 90, 10], 11: [87], 12: [9], 13: [57, 6]}"
12,"{0: [25, 5, 87, 46, 57, 18], 1: [91], 2: [30, 2, 55, 6, 28], 3: [86, 9, 24], 4: [81, 76, 61, 90, 70], 5: [10], 6: [12], 7: [84, 78, 89, 27], 8: [67], 9: [85, 59, 92], 10: [52, 80, 22], 11: [83, 20]}"
10,"{0: [83, 86, 9, 27], 1: [85, 61, 67, 10], 2: [25, 84, 5, 87, 91, 22, 70], 3: [80, 28, 18], 4: [81, 6], 5: [2, 12, 89, 59], 6: [52, 20, 78, 30], 7: [46, 24], 8: [76, 55, 90, 57], 9: [92]}"
12,"{0: [84, 78, 61, 91, 89, 57, 9], 1: [80, 85, 20, 30], 2: [83, 25, 86, 87], 3: [28, 59], 4: [81, 46, 24], 5: [76, 2, 12, 18], 6: [70], 7: [5, 27, 92], 8: [52, 10], 9: [55], 10: [67, 90, 6], 11: [22]}"
12,"{0: [20, 84, 12, 9], 1: [52, 25, 2, 28], 2: [86, 78, 67], 3: [83, 89, 59, 10], 4: [5, 91], 5: [80, 70], 6: [81, 46, 6], 7: [76, 30, 24], 8: [55, 61, 22, 57, 27], 9: [85, 18], 10: [87], 11: [90, 92]}"
10,"{0: [83, 78, 27], 1: [85, 20, 86, 84, 5, 24, 59], 2: [52, 81, 46, 6, 92, 18], 3: [76, 67, 57], 4: [80, 87, 61, 22, 89, 9], 5: [55, 70], 6: [25, 2, 12, 28, 10], 7: [30], 8: [90], 9: [91]}"
14,"{0: [46, 90, 89], 1: [2, 61, 67], 2: [9, 24], 3: [83, 81, 86, 84, 12, 27], 4: [85, 87, 6], 5: [55], 6: [52, 20, 22, 28, 18], 7: [91], 8: [25, 78, 5, 10], 9: [80, 76], 10: [70], 11: [59, 92], 12: [57], 13: [30]}"
10,"{0: [80, 76, 20, 84, 78, 28, 18], 1: [81, 46, 90, 91, 24, 59], 2: [25, 85, 86, 92], 3: [5, 87, 61, 70], 4: [83, 52, 2, 12, 67], 5: [30, 22, 9], 6: [57, 10], 7: [89], 8: [27], 9: [55, 6]}"
11,"{0: [12, 67, 90, 57, 27], 1: [85, 24, 18], 2: [81, 28], 3: [52, 2, 6], 4: [84, 5, 61, 9, 70, 10], 5: [86, 87, 46, 91], 6: [55, 89, 92], 7: [20, 30, 59], 8: [76, 25, 22], 9: [83], 10: [80, 78]}"
12,"{0: [52], 1: [30, 2, 61, 27], 2: [86, 59], 3: [83, 87, 46, 12], 4: [28], 5: [25, 90, 10], 6: [76, 22, 92], 7: [80, 67, 91, 9], 8: [5, 89, 24], 9: [85, 20, 84, 78, 55, 57], 10: [70], 11: [81, 6, 18]}"
16,"{0: [83], 1: [86, 22, 9], 2: [25, 24, 18], 3: [76, 57, 28], 4: [81, 78], 5: [52, 2, 59], 6: [5, 87, 67, 89], 7: [6], 8: [80, 46, 12, 90, 70], 9: [27], 10: [55], 11: [85, 84, 10], 12: [30], 13: [20, 61], 14: [92], 15: [91]}"
12,"{0: [80, 76, 12, 61, 57, 27, 10], 1: [52, 25, 91, 22], 2: [55, 46, 24], 3: [78], 4: [9], 5: [83, 81, 85, 2, 90, 28], 6: [84, 18], 7: [20, 30], 8: [87, 67, 70], 9: [86, 89, 6], 10: [59, 92], 11: [5]}"
13,"{0: [20, 30, 2, 46], 1: [83, 84, 12], 2: [76, 55, 87, 24], 3: [67, 59, 92], 4: [52, 25], 5: [85], 6: [81, 22, 6, 27, 10], 7: [5, 89, 28, 18], 8: [80, 78, 91, 57, 9], 9: [86], 10: [61], 11: [70], 12: [90]}"
12,"{0: [25, 86, 89, 59, 92], 1: [2], 2: [84, 46, 6, 9, 27], 3: [80, 76, 87, 12, 61, 18], 4: [70], 5: [30, 24], 6: [52, 81, 90], 7: [83, 85, 20, 91, 22], 8: [67], 9: [78, 57, 28, 10], 10: [55], 11: [5]}"
13,"{0: [81, 20, 87, 67, 9], 1: [30, 91, 59, 70], 2: [61], 3: [52, 25, 57], 4: [46, 90, 18], 5: [76, 85], 6: [83, 78, 27], 7: [12, 89], 8: [2, 22], 9: [28, 24], 10: [80], 11: [5, 55, 6, 10], 12: [86, 84, 92]}"
12,"{0: [81, 20, 12], 1: [76, 2, 90, 22], 2: [24, 18], 3: [25, 27, 92], 4: [46, 59], 5: [83, 86, 57], 6: [55, 61, 9], 7: [80, 84, 67, 70], 8: [85, 5, 87], 9: [78, 10], 10: [91, 6, 28], 11: [52, 30, 89]}"
13,"{0: [83, 78, 67, 90, 9], 1: [80, 5, 6, 28], 2: [76, 84, 61, 59, 92], 3: [52, 57], 4: [91, 10], 5: [85, 30, 12], 6: [81, 27], 7: [25, 55, 46], 8: [86], 9: [20, 87, 89, 24], 10: [18], 11: [2, 22], 12: [70]}"
12,"{0: [20, 84], 1: [25, 86, 78, 67, 18], 2: [52, 76, 9], 3: [2, 91, 28, 27, 92], 4: [30, 70], 5: [6], 6: [81, 55, 24, 10], 7: [83, 5, 87, 12, 59], 8: [90, 22], 9: [80, 61, 89], 10: [46, 57], 11: [85]}"
10,"{0: [5, 30, 67, 90, 24], 1: [80, 76, 91, 9], 2: [85, 18], 3: [83, 78], 4: [52, 84, 6, 10], 5: [86, 89, 27, 59, 70], 6: [87, 46, 57], 7: [25, 2, 12, 61], 8: [20, 55, 22, 92], 9: [81, 28]}"
12,"{0: [25, 84, 78, 87, 22, 10], 1: [76, 67, 89, 28, 24], 2: [30, 61], 3: [85, 90, 18], 4: [80, 2, 46, 91, 70], 5: [20, 27, 59], 6: [81], 7: [83, 55, 6], 8: [57], 9: [52, 86, 12], 10: [5, 92], 11: [9]}"
13,"{0: [52, 85, 86, 24], 1: [81, 76, 5, 57], 2: [91, 28], 3: [78, 87, 67, 59, 10], 4: [2, 12], 5: [83, 20, 84, 89], 6: [92], 7: [90, 70], 8: [25, 22, 6], 9: [46, 27, 18], 10: [80, 30, 61], 11: [9], 12: [55]}"
13,"{0: [30, 2, 91, 6], 1: [5, 22], 2: [52, 24, 59], 3: [87, 46], 4: [80, 20, 84, 12, 90], 5: [83, 81, 61, 9, 92], 6: [89, 18], 7: [55, 28], 8: [85, 57], 9: [27, 10], 10: [76, 25], 11: [67, 70], 12: [86, 78]}"
10,"{0: [76, 85, 2, 55, 90, 89, 28], 1: [20, 12, 61, 10], 2: [52, 6, 18], 3: [84], 4: [78, 87, 9], 5: [80, 86, 91, 70], 6: [83, 30, 22, 57, 24, 59], 7: [25, 67], 8: [46], 9: [81, 5, 27, 92]}"
16,"{0: [78, 59, 70], 1: [81, 86, 55, 22], 2: [87, 57], 3: [30, 6, 24], 4: [80, 2, 12, 9], 5: [76, 25, 5, 92], 6: [52, 67], 7: [20, 46, 90], 8: [61], 9: [85], 10: [84, 18], 11: [10], 12: [27], 13: [89, 28], 14: [91], 15: [83]}"
12,"{0: [81, 5, 2, 87, 89, 6], 1: [67, 57], 2: [85, 84, 28], 3: [83, 55], 4: [46, 61, 90, 92, 18], 5: [76, 22, 24], 6: [52, 30], 7: [9, 70], 8: [20, 10], 9: [86, 12, 91, 59], 10: [27], 11: [80, 25, 78]}"
13,"{0: [20, 86, 46, 90], 1: [83, 5], 2: [76, 70], 3: [52, 89, 27], 4: [25, 84], 5: [22, 28], 6: [30, 55, 9], 7: [12, 6, 18, 10], 8: [24, 92], 9: [80], 10: [78, 67, 91], 11: [2, 61, 59], 12: [81, 85, 87, 57]}"
12,"{0: [86, 89], 1: [52, 87, 59], 2: [20, 46, 67, 92], 3: [78, 12, 90, 70], 4: [25, 5, 2, 6, 28], 5: [84, 61, 22], 6: [55, 57], 7: [81, 85], 8: [9, 24, 27, 10], 9: [83, 91], 10: [80, 76, 30], 11: [18]}"
10,"{0: [80, 78, 5, 46, 91, 57], 1: [81, 89, 24, 27], 2: [87, 67, 90, 59, 18], 3: [25, 85, 30, 55, 22], 4: [83, 6, 28], 5: [76, 84, 2, 70, 10], 6: [20, 9], 7: [92], 8: [52, 86, 12], 9: [61]}"
12,"{0: [83, 86, 70], 1: [52, 80, 12, 27, 59, 18], 2: [30, 10], 3: [81, 25, 46, 61], 4: [6, 92], 5: [76, 85, 20, 87, 24], 6: [89, 57, 28], 7: [2, 91], 8: [78, 22, 9], 9: [84, 5, 90], 10: [55], 11: [67]}"
13,"{0: [90, 22, 92], 1: [80], 2: [83, 84, 2, 61], 3: [76, 25], 4: [81, 55, 59], 5: [5, 30, 12, 57, 18], 6: [85, 20, 89, 9, 27, 10], 7: [86, 70], 8: [46, 28], 9: [52, 87], 10: [91, 6, 24], 11: [67], 12: [78]}"
13,"{0: [10], 1: [84, 5, 67], 2: [55, 89], 3: [91, 28], 4: [78, 61, 6], 5: [80, 2, 90, 9, 24], 6: [83, 25, 85, 12, 59], 7: [76, 22, 57, 27], 8: [81, 18], 9: [52, 86, 70], 10: [87, 46, 92], 11: [20], 12: [30]}"
10,"{0: [84, 30], 1: [83, 76, 85, 2, 57, 9, 18], 2: [20, 12, 61, 24], 3: [52, 27], 4: [81, 86, 5, 91, 92], 5: [10], 6: [80, 78, 55, 6], 7: [87, 22, 28, 59], 8: [67], 9: [25, 46, 90, 89, 70]}"
15,"{0: [80, 30, 61, 89, 6], 1: [20, 84, 2, 90, 57, 59], 2: [83, 12], 3: [76, 87], 4: [81, 25, 22, 28, 18], 5: [9], 6: [27], 7: [91], 8: [86, 5, 70, 92], 9: [24, 10], 10: [55], 11: [78], 12: [85, 67], 13: [52], 14: [46]}"
13,"{0: [78, 30, 67, 59], 1: [52, 20, 86], 2: [81, 12, 89], 3: [27, 10], 4: [76, 92], 5: [85, 84, 87, 57, 24], 6: [80, 61, 6, 28], 7: [83, 25, 5, 46], 8: [91, 22], 9: [9, 70], 10: [55, 18], 11: [90], 12: [2]}"
12,"{0: [27], 1: [83, 5, 57, 18], 2: [81, 2, 89], 3: [76, 87, 12, 67, 91], 4: [55, 61], 5: [78], 6: [52, 80, 30, 46], 7: [84, 90, 28, 9, 59, 10], 8: [22, 24], 9: [25, 85, 20], 10: [6, 92], 11: [86, 70]}"
13,"{0: [25, 55, 9, 24], 1: [80, 85, 91, 57, 59, 18], 2: [52, 22, 28], 3: [81, 46], 4: [5, 90, 89, 10], 5: [30, 6, 27], 6: [83, 76, 70], 7: [61], 8: [84, 67], 9: [78, 12, 92], 10: [20, 87], 11: [86], 12: [2]}"
13,"{0: [89], 1: [85, 20, 90, 28, 27], 2: [52], 3: [78, 87, 6, 70], 4: [80, 2, 91, 18], 5: [57, 59], 6: [76, 46, 61, 67, 9, 24], 7: [83, 5, 55], 8: [86], 9: [25, 84, 22], 10: [81, 30, 92], 11: [10], 12: [12]}"
14,"{0: [81], 1: [5, 67, 24], 2: [87, 46, 90], 3: [20, 6, 59], 4: [78, 92], 5: [12, 61, 91, 89, 18], 6: [25, 86, 55], 7: [83, 52, 85, 9, 27], 8: [30, 10], 9: [84], 10: [2], 11: [80, 57, 28], 12: [70], 13: [76, 22]}"
14,"{0: [20, 12, 27], 1: [57, 9], 2: [2, 18], 3: [80, 84, 55, 87, 67, 89], 4: [52, 91, 28], 5: [30], 6: [85, 46, 61, 59], 7: [76, 22], 8: [86, 5], 9: [83, 81], 10: [25, 24], 11: [70, 92], 12: [6, 10], 13: [78, 90]}"
14,"{0: [83, 84, 12, 18], 1: [61], 2: [78, 2, 55, 57, 9], 3: [90, 6, 27, 10], 4: [25, 28], 5: [86], 6: [52, 67, 24], 7: [80, 87], 8: [20, 46, 92], 9: [81, 91, 59, 70], 10: [30], 11: [76, 5, 22], 12: [85], 13: [89]}"
13,"{0: [80, 91, 24], 1: [84, 57, 6, 9], 2: [52, 78], 3: [83, 2], 4: [76, 25, 85, 20], 5: [28], 6: [30, 55, 61], 7: [5, 67, 27, 10], 8: [12, 89, 70, 18], 9: [86, 46], 10: [87, 90], 11: [81, 22, 92], 12: [59]}"
12,"{0: [81, 78, 90, 24, 27, 59], 1: [52, 20, 57], 2: [25, 91], 3: [46, 61, 22, 89], 4: [76, 86, 84, 87], 5: [67, 70], 6: [6, 9, 10], 7: [2], 8: [80], 9: [12, 28], 10: [5, 30, 92, 18], 11: [83, 85, 55]}"
16,"{0: [80, 78, 10], 1: [30, 92], 2: [81, 86, 87, 90, 91], 3: [52, 25, 20, 46], 4: [9], 5: [2, 6], 6: [59, 70, 18], 7: [89, 24], 8: [83, 84, 61, 57], 9: [76, 28], 10: [55], 11: [27], 12: [12, 22], 13: [5], 14: [67], 15: [85]}"
11,"{0: [80, 90, 28, 9, 18, 10], 1: [81], 2: [52, 76, 87, 61], 3: [83, 25, 20, 84, 2, 12, 6, 24, 27], 4: [85, 86], 5: [5], 6: [78, 30, 67, 22, 57, 59], 7: [89, 92], 8: [55, 91], 9: [46], 10: [70]}"
15,"{0: [76, 84, 2, 91, 22], 1: [83, 70], 2: [25, 86, 89], 3: [85, 87, 61, 24], 4: [27, 10], 5: [6], 6: [20, 12, 18], 7: [90], 8: [55], 9: [67, 59, 92], 10: [80, 78], 11: [5], 12: [52, 57, 28, 9], 13: [81, 46], 14: [30]}"
10,"{0: [83, 78, 87, 12, 61, 22], 1: [59, 92], 2: [84, 2, 91, 27], 3: [52, 80, 9, 70], 4: [85, 30, 46, 89, 6], 5: [25, 55, 90, 57, 18, 10], 6: [81], 7: [76, 86, 5, 28], 8: [20, 67], 9: [24]}"
9,"{0: [80, 76, 85, 90, 57, 6, 27], 1: [83, 30, 46, 59], 2: [78, 91, 22], 3: [84, 87, 67, 18], 4: [52, 81, 25, 2, 12, 24, 92], 5: [20, 28, 10], 6: [5, 55, 9, 70], 7: [86, 61], 8: [89]}"
13,"{0: [76, 5, 87], 1: [2, 12, 22, 89, 18], 2: [30, 10], 3: [80, 25, 78, 46, 67], 4: [85], 5: [61, 9, 27, 59], 6: [52, 57], 7: [92], 8: [90, 70], 9: [81, 20, 86], 10: [55, 24], 11: [91, 6, 28], 12: [83, 84]}"
13,"{0: [30, 12, 89], 1: [25, 57, 24], 2: [27], 3: [84, 78, 2, 91, 59], 4: [55, 28, 9], 5: [85, 86, 5, 87, 6], 6: [81, 76], 7: [80, 10], 8: [83, 20, 90, 70, 92], 9: [61, 18], 10: [52, 67], 11: [46], 12: [22]}"
12,"{0: [81, 78, 59], 1: [83, 76, 2, 91, 89, 10], 2: [9, 27], 3: [46, 61, 67], 4: [85, 30, 12], 5: [6, 24, 18], 6: [25, 57], 7: [84, 90], 8: [52, 5, 87, 28, 92], 9: [20], 10: [80, 86, 22, 70], 11: [55]}"
13,"{0: [80, 87, 24], 1: [25, 2, 55, 92], 2: [83, 76, 86, 22], 3: [5, 30, 46], 4: [81, 61, 89, 57, 27], 5: [84, 91, 6, 59], 6: [20, 78, 12], 7: [90, 9], 8: [10], 9: [85, 18], 10: [67, 28], 11: [70], 12: [52]}"
13,"{0: [25, 84, 55], 1: [52, 76], 2: [78, 46, 57, 28, 24], 3: [5, 91], 4: [61, 27], 5: [85, 20, 2, 9], 6: [83, 80, 87, 10], 7: [30, 90], 8: [22, 89], 9: [67, 70], 10: [86, 6, 59, 18], 11: [92], 12: [81, 12]}"
13,"{0: [84, 10], 1: [20, 12, 27], 2: [83, 46, 67, 6, 59], 3: [86, 30], 4: [87, 92], 5: [76, 61, 89], 6: [5, 28, 24], 7: [91, 57, 18], 8: [55, 90, 70], 9: [85, 22, 9], 10: [81, 80, 2], 11: [52, 25], 12: [78]}"
14,"{0: [83, 12, 59], 1: [80, 78, 91, 18, 10], 2: [20, 90, 6], 3: [5, 87, 9], 4: [84, 57], 5: [55, 46, 67, 70], 6: [81, 2], 7: [28, 24], 8: [27], 9: [25, 30], 10: [22, 89], 11: [85, 92], 12: [86, 61], 13: [52, 76]}"
17,"{0: [78, 30, 91], 1: [22], 2: [10], 3: [52, 76], 4: [28, 9], 5: [85, 67], 6: [80, 55, 90], 7: [20, 46, 89, 27, 70], 8: [61], 9: [83, 2], 10: [86, 84, 59], 11: [6], 12: [81, 12, 92, 18], 13: [87], 14: [24], 15: [57], 16: [25, 5]}"
