Task_Groups,Number_of_Task_Groups
"{0: [83, 52, 55], 1: [78, 2, 9, 10], 2: [46, 12, 6], 3: [81, 76, 5], 4: [25, 20, 22, 28, 59], 5: [61, 91, 89], 6: [87, 92], 7: [85, 84, 90], 8: [80, 86], 9: [30, 57, 24, 27], 10: [67, 70, 18]}",11
"{0: [12, 57, 10], 1: [83, 81, 78, 55, 91], 2: [22, 70, 92, 18], 3: [52, 2, 46], 4: [76, 86, 27], 5: [61, 67, 90, 6], 6: [59], 7: [25, 84, 89, 28], 8: [85, 5, 87], 9: [80, 30, 24], 10: [9], 11: [20]}",12
"{0: [55, 61, 10], 1: [86, 92, 18], 2: [30, 87, 57, 70], 3: [83, 5, 90, 22, 89, 6], 4: [85, 27], 5: [80, 59], 6: [76, 25], 7: [20, 78, 9], 8: [28], 9: [52, 12, 91, 24], 10: [2, 46], 11: [84, 67], 12: [81]}",13
"{0: [25, 5, 55, 70], 1: [27], 2: [20, 84, 9], 3: [80, 78, 59], 4: [83, 46, 18], 5: [22, 89, 6], 6: [81, 28, 24], 7: [2, 12, 91], 8: [86, 90, 92], 9: [57, 10], 10: [76, 30], 11: [85, 61], 12: [52], 13: [87, 67]}",14
"{0: [83, 12, 18], 1: [52, 84, 90, 89, 27], 2: [2, 92], 3: [80, 25], 4: [81, 5, 30, 57], 5: [85, 55, 6, 28, 10], 6: [20, 86, 61, 59], 7: [78, 87, 91, 22, 70], 8: [67, 24], 9: [46, 9], 10: [76]}",11
"{0: [61, 67, 91, 24], 1: [87, 90, 92], 2: [46, 59], 3: [81, 84, 30, 12, 6], 4: [20, 27, 18], 5: [52, 85], 6: [76, 57, 28], 7: [78, 2], 8: [83, 86, 22], 9: [5, 9, 70], 10: [80], 11: [55, 10], 12: [25], 13: [89]}",14
"{0: [90, 91, 9], 1: [5, 6], 2: [67, 89], 3: [46], 4: [83, 25, 85], 5: [30, 24, 27, 70], 6: [52, 61], 7: [81, 22], 8: [76, 87], 9: [55, 18], 10: [10], 11: [2], 12: [86, 12, 92], 13: [80, 20, 84, 28], 14: [78, 59], 15: [57]}",16
"{0: [86, 70], 1: [80, 30, 46, 12, 61], 2: [85, 27], 3: [84, 24, 18], 4: [78, 5, 91, 22, 10], 5: [20, 87, 6, 9], 6: [52, 25, 2], 7: [76, 67, 59], 8: [83, 89], 9: [55, 90, 57, 28], 10: [81, 92]}",11
"{0: [30, 92], 1: [12, 59], 2: [5, 57, 10], 3: [83, 55, 9], 4: [81, 80, 91, 24], 5: [25, 84, 46, 90, 27], 6: [85, 18], 7: [52, 67, 6, 70], 8: [2], 9: [78], 10: [20, 87, 89, 28], 11: [86, 61], 12: [76], 13: [22]}",14
"{0: [83, 20, 46], 1: [76, 78], 2: [86, 90], 3: [25, 57, 28], 4: [52, 89, 27], 5: [5, 55, 12, 91, 6, 24], 6: [30, 61, 67, 22], 7: [84, 92], 8: [2, 87, 59, 70], 9: [81], 10: [85], 11: [80], 12: [9, 10], 13: [18]}",14
"{0: [20, 78], 1: [25, 67, 22, 6], 2: [76, 2, 55, 12], 3: [80, 84, 10], 4: [90, 91], 5: [5, 9], 6: [89, 18], 7: [83], 8: [30, 28], 9: [81, 85], 10: [46, 61, 57], 11: [86], 12: [87, 59, 92], 13: [27, 70], 14: [52, 24]}",15
"{0: [5, 28, 10], 1: [83, 86, 22, 89, 27], 2: [78, 6], 3: [2, 87, 59, 92], 4: [52, 80, 57], 5: [12, 90], 6: [61, 67], 7: [85], 8: [55], 9: [84, 30, 70], 10: [76, 9], 11: [25, 20, 46, 18], 12: [81, 91, 24]}",13
"{0: [86, 12], 1: [83, 76, 25, 20, 2], 2: [80, 30, 10], 3: [81, 91, 28, 92, 18], 4: [61, 22, 9, 27], 5: [55, 89, 57, 59], 6: [6], 7: [52, 85, 87, 70], 8: [84, 78, 67], 9: [5, 90], 10: [46, 24]}",11
"{0: [81, 2, 61, 91, 57], 1: [5, 67, 89, 70], 2: [85, 86], 3: [20, 78, 87, 22, 59, 92], 4: [55, 27], 5: [30], 6: [25, 84, 46, 10], 7: [76, 6, 28, 18], 8: [12, 90], 9: [83, 52, 24], 10: [80, 9]}",11
"{0: [81, 86, 27, 70, 10], 1: [85, 22, 89, 57], 2: [83, 20, 12, 90, 6, 9, 24, 92], 3: [76, 25], 4: [80, 78, 28], 5: [84, 5, 30, 55, 91, 59, 18], 6: [2], 7: [52, 46, 61, 67], 8: [87]}",9
"{0: [20, 90, 9, 70, 10], 1: [85, 30, 12, 61], 2: [80, 24], 3: [25, 2], 4: [76, 46, 89], 5: [86, 84, 55, 92], 6: [27], 7: [83, 52, 67], 8: [59], 9: [22], 10: [78], 11: [5, 91, 6, 28, 18], 12: [57], 13: [81], 14: [87]}",15
"{0: [81, 76, 20, 10], 1: [80, 30, 87, 61], 2: [5, 92], 3: [22, 59], 4: [25, 86, 89], 5: [78, 6, 70, 18], 6: [84, 67, 57], 7: [55, 9], 8: [83, 52, 2, 12, 91], 9: [46, 90, 27], 10: [24], 11: [85, 28]}",12
"{0: [80, 76, 25, 70], 1: [55, 10], 2: [84, 90], 3: [89, 27, 18], 4: [2, 6, 9, 92], 5: [81, 85, 86], 6: [67], 7: [78, 91, 24], 8: [87], 9: [52, 12, 22], 10: [5, 30, 46, 61], 11: [20, 57, 28], 12: [83], 13: [59]}",14
"{0: [5, 6, 27, 10], 1: [67, 22], 2: [80, 92], 3: [25, 30, 87, 57], 4: [78, 46, 18], 5: [83, 85, 28, 70], 6: [81, 76, 86, 84, 24], 7: [12], 8: [52], 9: [2, 61], 10: [55, 90, 9], 11: [20, 91], 12: [59], 13: [89]}",14
"{0: [27, 92], 1: [83, 25, 55, 10], 2: [91, 9], 3: [6, 18], 4: [90, 59], 5: [81, 84, 78, 22, 89, 57], 6: [5, 24], 7: [20, 61], 8: [2, 46, 67], 9: [30, 28], 10: [87, 12], 11: [80, 76], 12: [52, 85], 13: [86, 70]}",14
"{0: [80, 78, 10], 1: [30, 92], 2: [81, 86, 87, 90, 91], 3: [52, 25, 20, 46], 4: [9], 5: [2, 6], 6: [59, 70, 18], 7: [89, 24], 8: [83, 84, 61, 57], 9: [76, 28], 10: [55], 11: [27], 12: [12, 22], 13: [5], 14: [67], 15: [85]}",16
"{0: [83, 86, 5, 91, 70], 1: [2, 57], 2: [20], 3: [80, 78, 67, 18], 4: [84, 6], 5: [76, 25, 30, 61, 10], 6: [52, 22, 28], 7: [55, 12, 9], 8: [46, 24], 9: [81, 85, 87, 89], 10: [27, 92], 11: [90], 12: [59]}",13
"{0: [76, 46, 90, 27], 1: [81, 25, 55, 24], 2: [5, 57], 3: [85, 12, 61], 4: [86, 87, 6, 59, 92, 18], 5: [2, 10], 6: [83, 20, 84, 22], 7: [52, 30, 9], 8: [80, 67, 70], 9: [78], 10: [89, 28], 11: [91]}",12
"{0: [83, 12, 90, 70], 1: [85, 61, 67, 91, 92], 2: [76, 20, 6, 18], 3: [2, 89, 27], 4: [80, 86, 55], 5: [52, 84, 87, 22, 10], 6: [30, 57], 7: [78, 46, 9], 8: [24, 59], 9: [81, 25, 5], 10: [28]}",11
"{0: [76, 86, 18], 1: [20, 30, 57, 6, 27], 2: [83, 70], 3: [9], 4: [84, 5, 55, 10], 5: [25, 46, 12], 6: [61, 22, 89], 7: [52, 80, 78, 2, 90], 8: [92], 9: [81, 87], 10: [67, 24], 11: [85, 28, 59], 12: [91]}",13
"{0: [84, 59], 1: [2, 90, 70, 10], 2: [86, 89], 3: [83, 80, 85, 87, 46, 67, 6, 9], 4: [76, 55, 12], 5: [52, 28], 6: [25, 20], 7: [78, 30, 61, 27], 8: [81, 5, 91, 18], 9: [22, 57], 10: [24, 92]}",11
"{0: [85, 84, 30, 18], 1: [55, 22, 6, 24, 10], 2: [91], 3: [46, 90], 4: [81, 89, 92], 5: [83, 80, 76, 61, 9], 6: [86], 7: [52, 20, 5], 8: [67, 70], 9: [78, 12, 57], 10: [25, 2], 11: [59], 12: [28, 27], 13: [87]}",14
"{0: [83], 1: [52, 25, 90, 28], 2: [81, 2, 55, 46, 61, 9], 3: [85, 20, 12, 91, 10], 4: [86, 87, 57, 24, 18], 5: [5, 67, 27], 6: [80, 59, 92], 7: [84, 78, 30, 22, 6, 70], 8: [89], 9: [76]}",10
"{0: [5, 2, 55, 89, 27], 1: [78, 70], 2: [76, 20], 3: [81, 84, 22], 4: [46, 90, 91, 18], 5: [30, 87], 6: [25, 92], 7: [83, 59, 10], 8: [86, 67, 6, 28, 9, 24], 9: [12, 61], 10: [80, 85, 57], 11: [52]}",12
"{0: [20, 61, 89, 57], 1: [55], 2: [52, 76, 2, 9, 59], 3: [87, 24], 4: [85, 5, 90], 5: [86, 84, 78, 70], 6: [25, 30, 12, 6], 7: [81, 28, 92, 18], 8: [83], 9: [80, 67, 91, 10], 10: [46, 27], 11: [22]}",12
"{0: [20, 61, 91, 92, 18], 1: [89, 6, 9], 2: [2, 22], 3: [25, 87, 24, 59], 4: [86, 57, 70], 5: [52, 78, 55], 6: [83, 81, 76], 7: [84, 5, 67], 8: [85, 10], 9: [80, 12, 90, 27], 10: [30, 46, 28]}",11
"{0: [83, 78, 87, 12, 61, 22], 1: [59, 92], 2: [84, 2, 91, 27], 3: [52, 80, 9, 70], 4: [85, 30, 46, 89, 6], 5: [25, 55, 90, 57, 18, 10], 6: [81], 7: [76, 86, 5, 28], 8: [20, 67], 9: [24]}",10
"{0: [80, 2, 24, 92], 1: [81, 20, 5, 61, 57, 27, 70], 2: [52, 89, 6, 59], 3: [86, 30, 10], 4: [87, 67, 90, 22, 9], 5: [83, 84, 78, 18], 6: [76, 85, 46, 28], 7: [25, 55, 12, 91]}",8
"{0: [30, 87, 70], 1: [9, 10], 2: [83, 91, 57, 27], 3: [81, 76, 84, 55, 22], 4: [86, 46, 28], 5: [80, 25, 78, 61, 24], 6: [67, 90, 18], 7: [2], 8: [85, 20, 5, 59, 92], 9: [12], 10: [52, 6], 11: [89]}",12
"{0: [89, 28, 24, 92], 1: [25, 5], 2: [81, 2], 3: [90, 18], 4: [83, 76, 85, 20, 46], 5: [86, 70, 10], 6: [78, 30], 7: [52, 91, 22], 8: [84, 12, 67], 9: [80], 10: [87, 6], 11: [61, 59], 12: [57, 9], 13: [55, 27]}",14
"{0: [76, 84, 55, 61, 28, 24], 1: [52, 25, 46], 2: [86, 78, 92], 3: [83], 4: [85, 2, 91], 5: [80, 30, 22, 6], 6: [20, 90, 59, 18], 7: [87, 12, 67, 89, 57, 70, 10], 8: [9], 9: [81, 5, 27]}",10
"{0: [81, 86, 89, 18], 1: [83, 30, 6, 70, 10], 2: [25, 84, 90], 3: [80], 4: [5, 91], 5: [28], 6: [52, 22], 7: [76, 24, 27], 8: [61, 67, 9, 59, 92], 9: [85, 2, 55], 10: [87, 57], 11: [20, 78], 12: [12], 13: [46]}",14
"{0: [83, 80, 61], 1: [25, 20, 89, 57, 24, 70], 2: [85, 5], 3: [81, 91, 6], 4: [76, 27], 5: [46, 18, 10], 6: [52, 78, 28, 9], 7: [55, 92], 8: [67], 9: [86, 87], 10: [90], 11: [12, 59], 12: [84, 22], 13: [2], 14: [30]}",15
"{0: [81, 25, 84, 27, 10], 1: [52, 12, 61, 9], 2: [5], 3: [57, 24, 59], 4: [70], 5: [30, 18], 6: [87, 46, 67, 28], 7: [78, 55], 8: [80, 86, 91, 92], 9: [90, 22, 89], 10: [83, 76, 2, 6], 11: [85, 20]}",12
"{0: [25, 12], 1: [85, 67, 28], 2: [55, 70, 92], 3: [81, 89], 4: [2, 90, 6], 5: [46], 6: [86, 61, 9, 59], 7: [76, 5, 24], 8: [18], 9: [91], 10: [30], 11: [83, 80, 84, 87, 57], 12: [20], 13: [52], 14: [78, 22, 10], 15: [27]}",16
"{0: [5, 87], 1: [25, 46, 61, 22], 2: [24, 70, 92], 3: [2, 89, 10], 4: [83, 76, 12, 57, 27], 5: [81, 85, 55, 67, 90, 18], 6: [80, 78, 28], 7: [20, 86, 30], 8: [84, 6, 9], 9: [52, 91, 59]}",10
"{0: [2, 91, 59], 1: [76, 85], 2: [30, 28], 3: [83, 84, 89, 6], 4: [78, 18], 5: [80, 46, 61, 90], 6: [81], 7: [25, 92], 8: [27], 9: [5, 12, 67, 22], 10: [87, 57, 70, 10], 11: [52, 86, 55], 12: [9], 13: [24], 14: [20]}",15
"{0: [78, 87, 12, 57], 1: [25, 85, 84, 67, 90, 91, 89, 9], 2: [24, 27], 3: [76, 55, 59], 4: [5, 70, 92, 18], 5: [83, 46], 6: [86, 61, 10], 7: [52, 80], 8: [2, 28], 9: [20, 30, 22, 6], 10: [81]}",11
"{0: [83, 87, 90, 27], 1: [81, 24, 59], 2: [80, 30, 67, 6], 3: [55, 61, 91, 89, 70], 4: [52, 84, 18], 5: [76, 12, 9], 6: [20, 28], 7: [78, 92], 8: [86, 5, 22, 10], 9: [85, 57], 10: [46], 11: [2], 12: [25]}",13
"{0: [2, 59], 1: [83, 78, 12, 89, 6], 2: [52, 91], 3: [76, 5, 22, 57, 24], 4: [86, 84, 87, 28], 5: [46, 61, 70], 6: [85, 30, 67], 7: [81, 20, 55, 9, 92], 8: [80, 25], 9: [10], 10: [18], 11: [90, 27]}",12
"{0: [52, 80, 84, 90, 27], 1: [20, 6], 2: [76, 85, 61, 24], 3: [87, 59, 92, 10], 4: [70, 18], 5: [30, 2, 55, 91], 6: [78, 5, 12, 57], 7: [25, 22], 8: [83, 81, 86, 46], 9: [67, 9], 10: [28], 11: [89]}",12
"{0: [25, 30, 46, 12, 6, 18], 1: [52, 86, 5], 2: [76, 84, 57], 3: [83, 61], 4: [81, 55, 9, 24, 27, 70], 5: [80, 2, 90, 22], 6: [28, 92, 10], 7: [67], 8: [85, 91], 9: [20, 78, 87, 89], 10: [59]}",11
"{0: [86, 30], 1: [20, 78, 9], 2: [52, 46, 6], 3: [90, 18], 4: [83, 76, 57, 59, 10], 5: [80, 25, 87, 27], 6: [85, 28], 7: [84, 61], 8: [81, 5], 9: [67, 92], 10: [12, 89], 11: [22, 70], 12: [24], 13: [55, 91], 14: [2]}",15
"{0: [87, 46, 90, 9, 70], 1: [84, 55, 92, 18], 2: [86], 3: [27], 4: [81, 5, 2, 57, 59], 5: [76, 25, 78, 12, 91, 10], 6: [85, 30, 61, 22, 89], 7: [83, 80, 28, 24], 8: [20, 6], 9: [52, 67]}",10
"{0: [84, 30, 59], 1: [80, 76, 92, 18], 2: [87, 12, 91, 28], 3: [9], 4: [25, 86], 5: [83, 81, 67, 27], 6: [85, 22, 10], 7: [5, 90], 8: [20, 46, 6, 70], 9: [78, 2, 24], 10: [61, 89], 11: [57], 12: [52, 55]}",13
"{0: [76, 84, 2, 91, 22], 1: [83, 70], 2: [25, 86, 89], 3: [85, 87, 61, 24], 4: [27, 10], 5: [6], 6: [20, 12, 18], 7: [90], 8: [55], 9: [67, 59, 92], 10: [80, 78], 11: [5], 12: [52, 57, 28, 9], 13: [81, 46], 14: [30]}",15
"{0: [30, 87, 61, 22], 1: [20, 84, 6, 28], 2: [10], 3: [83, 52, 80, 27, 92], 4: [78, 59, 70, 18], 5: [76, 86], 6: [85, 46, 12, 24], 7: [81, 9], 8: [25, 5, 91, 57], 9: [2, 55, 90, 89], 10: [67]}",11
"{0: [81, 5, 2, 46, 22, 9, 92], 1: [20, 27, 70], 2: [18], 3: [87, 61], 4: [83, 55], 5: [25, 85, 86, 90, 59], 6: [80, 91, 89, 6], 7: [84, 30, 10], 8: [12, 67], 9: [76, 28], 10: [78, 57], 11: [52, 24]}",12
"{0: [85], 1: [76, 22, 59], 2: [83, 52, 18], 3: [5, 24, 10], 4: [25, 57], 5: [86, 55, 87, 27], 6: [80, 78, 92], 7: [30, 46, 9, 70], 8: [61], 9: [6], 10: [20, 2, 89], 11: [12, 90, 91], 12: [81, 67], 13: [28], 14: [84]}",15
"{0: [85, 78, 87, 12, 90], 1: [86, 61, 91, 92], 2: [81, 89, 70], 3: [25, 20, 24, 27], 4: [83, 84, 46, 67, 10], 5: [80], 6: [76, 2, 55, 28], 7: [30, 57, 6], 8: [5, 59], 9: [9, 18], 10: [52], 11: [22]}",12
"{0: [83, 84, 22, 6, 27], 1: [57, 18], 2: [81, 70], 3: [52, 80, 2, 9, 59], 4: [20, 28], 5: [25, 30, 12], 6: [86, 67], 7: [61, 10], 8: [5, 87, 90, 91], 9: [76, 78, 24], 10: [85, 55, 92], 11: [46], 12: [89]}",13
"{0: [52, 6], 1: [84, 91], 2: [76, 20, 61], 3: [83, 30, 67, 57, 18], 4: [81, 86, 24, 92], 5: [25, 85, 78], 6: [2, 10], 7: [5, 87], 8: [9, 27], 9: [55, 90, 22, 28], 10: [59], 11: [80, 12, 70], 12: [46], 13: [89]}",14
"{0: [57, 9, 92, 18], 1: [12, 22, 10], 2: [55, 70], 3: [83, 76, 78, 46], 4: [81, 80], 5: [85, 20, 87, 24], 6: [84, 91, 27], 7: [52, 2, 6], 8: [5, 67, 90, 89, 59], 9: [86, 61, 28], 10: [25, 30]}",11
"{0: [27, 18], 1: [52, 81, 78, 2], 2: [83, 20, 22, 6, 92, 10], 3: [84, 89, 57], 4: [25, 5, 12, 91], 5: [55, 61], 6: [46, 24], 7: [86], 8: [76, 30, 67], 9: [80, 85, 87, 90, 28, 9], 10: [70], 11: [59]}",12
"{0: [25, 12, 89, 59], 1: [76, 61, 24], 2: [84, 5, 9, 27, 70], 3: [86], 4: [20, 57], 5: [52, 87, 18], 6: [78, 55, 28, 92], 7: [80, 67, 90], 8: [6, 10], 9: [83, 22], 10: [81, 85, 91], 11: [30], 12: [2], 13: [46]}",14
"{0: [46, 59, 10], 1: [80, 92], 2: [87, 89, 6], 3: [67], 4: [5, 22], 5: [76, 84, 55, 90, 70], 6: [20, 30, 2, 9], 7: [25, 24, 18], 8: [86, 61], 9: [52, 57, 27], 10: [83, 12, 91], 11: [81, 85], 12: [78, 28]}",13
"{0: [83, 67, 91, 9, 18], 1: [20, 57, 92], 2: [87, 59, 10], 3: [30, 70], 4: [90, 22, 27], 5: [76], 6: [55, 12], 7: [52, 81, 86, 84, 2], 8: [28], 9: [85, 78, 46], 10: [80, 61, 6], 11: [5, 24], 12: [25], 13: [89]}",14
"{0: [52, 84, 30, 67, 57], 1: [81, 20, 28, 70, 10], 2: [91, 89, 24, 92], 3: [83, 86, 18], 4: [85, 46, 61], 5: [9], 6: [2, 87], 7: [76, 55, 27], 8: [80, 78, 59], 9: [12], 10: [6], 11: [90], 12: [25, 22], 13: [5]}",14
"{0: [81, 84], 1: [2, 12, 18], 2: [86, 46, 90, 91, 59], 3: [80, 76, 70], 4: [55, 57, 24], 5: [25, 85, 61, 6, 10], 6: [52, 87], 7: [20], 8: [83], 9: [5, 27, 92], 10: [78, 67, 22, 89], 11: [28, 9], 12: [30]}",13
"{0: [25, 90], 1: [2, 24], 2: [52, 46, 18], 3: [83], 4: [81, 86, 5, 30, 9], 5: [27, 10], 6: [80, 67, 22, 57, 92], 7: [85, 84, 87, 61, 59, 70], 8: [20], 9: [76, 78, 12, 89], 10: [91], 11: [55, 6], 12: [28]}",13
"{0: [12, 89], 1: [52, 80, 5, 55, 87, 67, 24, 10], 2: [86, 9, 59, 92, 18], 3: [84], 4: [83, 85, 90, 27], 5: [30, 46, 61, 28], 6: [81], 7: [76, 25, 91, 22], 8: [2, 57], 9: [6], 10: [20, 78, 70]}",11
"{0: [83, 78, 12, 92], 1: [76, 85, 28], 2: [2, 61, 89], 3: [52, 57, 6, 24, 70], 4: [86, 5, 91, 9], 5: [67, 27], 6: [80, 87, 18], 7: [84, 30, 10], 8: [81], 9: [90], 10: [25, 20, 46, 22], 11: [55, 59]}",12
"{0: [85, 84, 5, 22, 70, 92, 18], 1: [12, 67, 89, 57, 10], 2: [52, 81, 59], 3: [86, 6, 9], 4: [55, 46, 24], 5: [83, 20, 87, 91, 28], 6: [76], 7: [80, 2], 8: [30], 9: [27], 10: [25, 78], 11: [61, 90]}",12
"{0: [81, 20, 84, 12], 1: [25, 89, 27], 2: [22], 3: [85, 2, 67, 6], 4: [80, 78, 28], 5: [46, 91, 18], 6: [52, 55, 87, 61, 9], 7: [83, 70], 8: [76, 86, 57, 92], 9: [5, 30, 59], 10: [24, 10], 11: [90]}",12
"{0: [85, 30, 46, 92], 1: [86, 12, 91, 57, 6, 59], 2: [87, 67], 3: [25, 22, 24], 4: [2, 90, 10], 5: [76, 20, 78], 6: [55, 89], 7: [83, 9], 8: [84, 61, 27, 70], 9: [80, 18], 10: [81, 28], 11: [52, 5]}",12
"{0: [5, 61, 90, 24, 70], 1: [86, 12, 59], 2: [85, 28, 92], 3: [52, 84], 4: [20, 78, 46, 89, 6], 5: [76, 55, 87, 27], 6: [83, 91], 7: [30, 2, 18], 8: [67, 10], 9: [81, 25, 22, 57, 9], 10: [80]}",11
"{0: [30, 67, 57], 1: [83, 52, 5, 90, 24], 2: [80, 20, 55, 28], 3: [22], 4: [12, 92, 18], 5: [76, 78, 70], 6: [46, 9], 7: [81, 61, 59], 8: [2, 87, 89], 9: [27], 10: [25, 85, 86, 6], 11: [10], 12: [84, 91]}",13
"{0: [83, 30], 1: [20, 6, 59, 10], 2: [2, 46, 90, 70], 3: [9, 18], 4: [52, 55, 89, 24], 5: [25, 84, 67, 27], 6: [57, 28], 7: [76, 78], 8: [81, 86, 12], 9: [85, 91], 10: [80, 5], 11: [22], 12: [92], 13: [87], 14: [61]}",15
"{0: [81, 55, 27, 10], 1: [83, 85, 5, 90], 2: [80, 87, 46, 6], 3: [52, 78], 4: [86, 12, 59, 70], 5: [61, 28], 6: [20, 30, 2], 7: [89, 92], 8: [67, 57], 9: [76, 84, 9], 10: [91, 22], 11: [25], 12: [24], 13: [18]}",14
"{0: [83, 80, 85, 22, 59, 10], 1: [55, 61, 91], 2: [20, 12], 3: [84, 57], 4: [86, 30, 67, 9, 27, 92], 5: [81, 76, 2, 46, 70], 6: [78, 5, 90, 28], 7: [25, 87, 24], 8: [52, 6], 9: [89, 18]}",10
"{0: [2], 1: [30, 9, 10], 2: [87, 24, 18], 3: [52, 81, 6], 4: [25, 78, 57, 27, 92], 5: [20, 5, 28, 59], 6: [61], 7: [76, 86, 46], 8: [80], 9: [89], 10: [84, 12], 11: [90, 22], 12: [67, 70], 13: [85, 91], 14: [83, 55]}",15
"{0: [25], 1: [81, 89, 24], 2: [84, 9], 3: [59, 10], 4: [86, 55, 46], 5: [30, 28, 92, 18], 6: [20, 2, 90, 27], 7: [76, 85, 57, 6], 8: [52, 5, 61, 91], 9: [87, 12], 10: [83, 80, 78, 67], 11: [22], 12: [70]}",13
"{0: [52, 78, 57, 10], 1: [83, 25, 86, 5], 2: [12, 22], 3: [9], 4: [84, 87, 91, 28, 70], 5: [80, 61, 90, 89, 27, 59], 6: [81, 2, 67, 6], 7: [85, 20, 30, 92], 8: [46, 24], 9: [55, 18], 10: [76]}",11
"{0: [81, 25, 55, 18], 1: [85, 89, 70], 2: [20, 78, 46, 12, 57], 3: [80, 76, 24, 10], 4: [83, 84, 2], 5: [28], 6: [87, 67], 7: [30], 8: [61, 91, 22, 59], 9: [5, 9], 10: [86, 6, 27, 92], 11: [52, 90]}",12
"{0: [57, 24, 70, 92], 1: [86, 2, 55, 6, 27], 2: [81, 46, 90], 3: [12], 4: [78, 67, 9, 18], 5: [52, 85, 20, 5], 6: [80, 91], 7: [83, 84, 89, 28], 8: [30], 9: [61], 10: [87, 22, 59, 10], 11: [25], 12: [76]}",13
"{0: [67, 70], 1: [52, 80, 78, 22, 9, 10], 2: [46], 3: [86, 24], 4: [25, 84, 30, 61], 5: [83, 85, 87], 6: [76, 20, 2, 6], 7: [81, 90, 89, 28, 59], 8: [55, 92], 9: [5, 57, 18], 10: [12, 91], 11: [27]}",12
"{0: [52, 85, 84, 67, 27, 59], 1: [76, 30, 46, 12, 22, 28, 10], 2: [2, 70], 3: [80, 24], 4: [57, 92, 18], 5: [78, 9], 6: [83, 25, 20, 6], 7: [81, 5, 55, 91], 8: [61], 9: [89], 10: [87, 90], 11: [86]}",12
"{0: [78, 87, 91, 89, 18], 1: [2, 67, 22, 28], 2: [84, 12, 9], 3: [83, 30], 4: [20, 90, 57, 27, 59], 5: [81, 24, 10], 6: [76, 85, 86, 70], 7: [52, 92], 8: [5], 9: [80, 25, 55, 46, 61], 10: [6]}",11
"{0: [30, 9, 10], 1: [2, 12, 59], 2: [80, 84], 3: [90, 57, 24, 70, 18], 4: [55, 22], 5: [67, 28], 6: [85, 86, 46, 6], 7: [78, 5, 87, 92], 8: [83], 9: [20, 91, 89], 10: [52, 76, 25, 27], 11: [81, 61]}",12
"{0: [28], 1: [67, 89, 10], 2: [83, 76, 85, 5, 87, 61], 3: [25, 78], 4: [2, 6, 24], 5: [84, 30, 55, 57, 9], 6: [86, 12], 7: [80, 20, 91, 22, 18], 8: [46, 90, 27, 92], 9: [59, 70], 10: [52], 11: [81]}",12
"{0: [81, 2], 1: [76, 46, 67, 90, 57, 70], 2: [22], 3: [80, 5, 28, 24, 10], 4: [84, 91, 9], 5: [52], 6: [85, 86, 59], 7: [20, 78, 87, 12], 8: [83, 89, 6, 27, 92], 9: [18], 10: [30, 55], 11: [61], 12: [25]}",13
"{0: [52, 12], 1: [86, 55, 46, 10], 2: [9], 3: [81, 76, 2], 4: [80, 85, 91, 18], 5: [5, 59, 92], 6: [83, 89], 7: [30, 87], 8: [25, 84, 90], 9: [61], 10: [57, 28, 27], 11: [22, 24], 12: [78], 13: [20], 14: [67, 6], 15: [70]}",16
"{0: [25, 5, 57, 6, 24], 1: [78, 55, 61], 2: [83, 92], 3: [89], 4: [87, 12, 27], 5: [76, 86, 46], 6: [67, 9, 10], 7: [80, 2, 91, 28], 8: [84, 22], 9: [81, 18], 10: [20], 11: [52, 85, 30, 90, 59], 12: [70]}",13
"{0: [83, 76, 18], 1: [80, 2], 2: [84, 61, 28], 3: [5, 46, 22, 27], 4: [85, 78, 87, 12], 5: [57], 6: [81, 90, 6], 7: [70], 8: [59], 9: [10], 10: [9, 92], 11: [30, 89], 12: [25], 13: [20, 55, 67], 14: [52], 15: [86, 24], 16: [91]}",17
"{0: [5, 92, 18], 1: [25, 85, 90], 2: [22, 27], 3: [52, 76, 55, 9, 24, 10], 4: [83, 80, 46, 12, 91, 57], 5: [81, 84, 67, 28], 6: [78, 61, 59], 7: [86], 8: [89], 9: [30, 2], 10: [87, 70], 11: [20, 6]}",12
"{0: [84, 2, 70], 1: [83], 2: [5, 30, 90, 57], 3: [81, 55, 87, 24], 4: [61, 22, 28, 59, 10], 5: [80, 67], 6: [52, 76, 20, 46, 6], 7: [85, 27], 8: [12], 9: [78, 91, 89, 9], 10: [25, 86, 92, 18]}",11
"{0: [83, 20, 5, 89, 10], 1: [81, 76, 46, 61, 28, 24], 2: [85, 87, 9, 59], 3: [12, 22, 57], 4: [2, 67, 27, 70], 5: [25], 6: [86, 84], 7: [52, 80, 90, 91, 18], 8: [78, 30, 55, 6], 9: [92]}",10
"{0: [52, 20, 84, 87], 1: [2, 61, 67, 70], 2: [76, 85, 55, 59], 3: [80, 25, 86, 6, 92], 4: [5, 46, 22, 18, 10], 5: [9], 6: [30], 7: [28, 27], 8: [83, 81, 12, 90, 89, 24], 9: [78, 57], 10: [91]}",11
"{0: [25, 78, 46, 22, 6], 1: [83, 81, 89, 28], 2: [76, 30, 59, 18], 3: [52, 86], 4: [85, 2, 55], 5: [90, 9, 27], 6: [80, 20, 61, 57], 7: [84, 87, 12, 67], 8: [5, 91, 24, 70, 10], 9: [92]}",10
